PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Tomas Satoransky,WAS,30,6-7,210,None,Czech Republic,2012,2,32,55,3.6,2.3,3.3,-8,2.9,11,12.4,46.1,28.5
Tony Bradley,CHI,24,6-10,248,North Carolina,USA,2017,1,28,55,3,3.4,0.5,5.2,12.3,19.6,12.8,60,6.5
Tony Snell,NOP,30,6-6,213,New Mexico,USA,2013,1,20,53,3.5,1.9,0.5,-7.8,1.8,10.7,9.9,54.1,4.7
Torrey Craig,PHX,31,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,78,6.6,4,1.2,-5,5,13.7,13.9,55.6,8.2
Trae Young,ATL,23,6-1,164,Oklahoma,USA,2018,1,5,76,28.4,3.7,9.7,2.3,1.9,8.7,33.3,60.3,44.2
Trayvon Palmer,DET,27,6-6,200,Chicago State,USA,Undrafted,Undrafted,Undrafted,1,0,2,0,-33,0,13.3,5.3,0,0
Tre Jones,SAS,22,6-1,185,Duke,USA,2020,2,41,69,6,2.2,3.4,-0.5,2.4,10.3,15.1,54.5,28
Tre Mann,OKC,21,6-3,178,Florida,USA,2021,1,18,60,10.4,2.9,1.5,-10.3,1.7,10.1,21.3,50.1,10.8
Tremont Waters,WAS,24,5-10,175,Louisiana State,USA,2019,2,51,3,3.3,1.3,2.3,-17.1,0,7.7,15,35.7,17.9
Trendon Watford,POR,21,6-8,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,48,7.6,4.1,1.7,-17.9,6,16.3,16.9,59,15.2
Trent Forrest,UTA,24,6-4,210,Florida State,USA,Undrafted,Undrafted,Undrafted,60,3.3,1.7,1.8,4.5,3.1,9.3,12.4,55.4,18.8
Trevelin Queen,HOU,25,6-6,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted,10,4.3,1.6,0.4,5.6,9.1,13.4,21.9,61.9,7.4
Trevon Scott,CLE,25,6-8,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,2,3,1,0,19.4,7.1,8.3,20.7,50,0
Trevor Ariza,LAL,37,6-8,215,UCLA,USA,2004,2,43,24,4,3.4,1.1,-5.3,2,15.1,11,44.9,7.9
Trey Burke,DAL,29,6-0,185,Michigan,USA,2013,1,9,42,5.1,0.8,1.4,-0.5,0.9,6.4,25,47.5,21.9
Trey Lyles,SAC,26,6-9,234,Kentucky,Canada,2015,1,12,75,10.5,5.1,1.2,-7.2,5.6,18.9,20.5,58.8,9
Trey Murphy III,NOP,22,6-8,206,Virginia,USA,2021,1,17,62,5.4,2.4,0.6,0.3,4.9,12.2,14.7,55.8,6.5
Tristan Thompson,CHI,31,6-9,254,University of Texas at Austin,Canada,2011,1,4,57,6,5.1,0.6,-3.6,12.5,19.6,16.8,54.1,5.4
Troy Brown Jr.,CHI,22,6-6,215,Oregon,USA,2018,1,15,66,4.3,3.1,1,-2.3,3.8,15.4,11.8,52.5,8.2
Ty Jerome,OKC,24,6-5,195,Virginia,USA,2019,1,24,48,7.1,1.6,2.3,-1.5,2.1,7.2,20.5,48.8,22.9
Tyler Cook,CHI,24,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted,20,3.4,2.7,0.2,-7.5,8,20,12.7,64.3,2.1
Tyler Hall,NYK,25,6-5,209,Montana State,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-100,0,0,0,0,0
Tyler Herro,MIA,22,6-5,195,Kentucky,USA,2019,1,13,66,20.7,5,4,5.3,1.5,13.3,27.8,56.1,20.5
Tyler Johnson,SAS,30,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,6,2.8,2,1.2,-1.9,2.9,10,10,42.5,10
Tyrell Terry,MEM,21,6-2,160,Stanford,USA,2020,2,31,2,1,0,0,-6.9,0,0,11.1,100,0
Tyrese Haliburton,IND,22,6-5,185,Iowa State,USA,2020,1,12,77,15.3,4,8.2,-6,2.2,9.3,18.4,59.5,33.5
Tyrese Maxey,PHI,21,6-2,200,Kentucky,USA,2020,1,21,75,17.5,3.2,4.3,3.6,1,8,19.9,59.4,19.1
Tyrone Wallace,NOP,28,6-5,198,California,USA,2016,2,60,6,2.8,1.3,0.2,-9.9,0,13.3,13,38.3,1.7
Tyus Jones,MEM,26,6-0,196,Duke,USA,2015,1,24,73,8.7,2.4,4.4,7.6,1,9.7,16.4,54.4,28.5
Udoka Azubuike,UTA,22,7-0,270,Kansas,Nigeria,2020,1,27,17,4.7,4.2,0,2,9.3,23.3,14.3,74.3,0
Udonis Haslem,MIA,42,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,13,2.5,1.9,0.3,-9.5,4.3,23.9,18.3,49.5,7.7
Usman Garuba,HOU,20,6-8,229,None,Spain,2021,1,23,24,2,3.5,0.7,7,8.3,26.3,9.1,51,8.4
Vernon Carey Jr.,WAS,21,6-9,270,Duke,USA,2020,2,32,7,2.9,1.7,0,-47.6,14.5,9.3,17.9,53.4,0
Victor Oladipo,MIA,30,6-4,213,Indiana,USA,2013,1,2,8,12.4,2.9,3.5,-1.4,1.7,11,24.7,60.8,27.7
Vit Krejci,OKC,22,6-8,195,None,Czech Republic,2020,2,37,30,6.2,3.4,1.9,-12.8,2.4,12.1,12.5,52.9,11.7
Vlatko Cancar,DEN,25,6-8,236,None,Slovenia,2017,2,49,15,4.1,2.1,1.1,0.8,4.1,13.3,13.1,65.7,13.9
Wayne Ellington,LAL,34,6-4,207,North Carolina,USA,2009,1,28,43,6.7,1.8,0.7,-3.8,1.2,7.8,13.5,59.3,5.5
Wayne Selden,NYK,27,6-4,232,Kansas,USA,2016,,,3,1.7,0.3,0.3,-34.5,0,5.3,13.6,43.4,9.1
Wendell Carter Jr.,ORL,23,6-10,270,Duke,USA,2018,1,7,62,15,10.5,2.8,-3.7,7.4,26,20.6,60.1,15
Wenyen Gabriel,LAL,25,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,26,5.4,3.7,0.5,6.7,10.5,15.1,16.5,54.9,5.3
Wes Iwundu,ATL,27,6-6,195,Kansas State,USA,2017,2,33,3,7.3,4.3,0,-1.4,3.6,14.3,11.1,55.7,0
Wesley Matthews,MIL,35,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted,49,5.1,1.9,0.7,6.7,2.9,5.6,10.4,53.6,4.7
Will Barton,DEN,31,6-5,181,Memphis,USA,2012,2,40,71,14.7,4.8,3.9,2,2,12.8,20.5,54.8,17.1
Willie Cauley-Stein,PHI,28,7-0,240,Kentucky,USA,2015,1,6,20,1.7,2,0.5,7.2,6.4,14.4,9.9,47.4,7.4
Willy Hernangomez,NOP,28,6-11,250,None,Spain,2015,2,35,50,9.1,6.8,1.3,-1.6,15.3,24,21.1,58.2,11.3
Xavier Moon,LAC,27,6-2,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,10,5.8,1.4,2.4,1.4,1.4,7.2,17.7,54.5,24.5
Xavier Sneed,UTA,24,6-5,215,Kansas State,USA,Undrafted,Undrafted,Undrafted,9,0.6,0.7,0.1,-3.8,4.1,11.1,10.9,25,3.6
Xavier Tillman,MEM,23,6-8,245,Michigan State,USA,2020,2,35,53,4.8,3,1.2,-1.4,8.4,13.8,16.4,51,12.7
Yuta Watanabe,TOR,27,6-9,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,38,4.3,2.4,0.6,-3.9,3.5,15.8,16.1,52.4,6.7
Yves Pons,MEM,23,6-5,206,Tennessee,France,Undrafted,Undrafted,Undrafted,12,1.1,1,0.1,-21.3,5.5,8.2,9.6,38.5,2.4
Zach Collins,SAS,24,6-11,250,Gonzaga,USA,2017,1,10,28,7.8,5.5,2.2,3.1,8.5,19.7,18.4,59.4,17
Zach LaVine,CHI,27,6-5,200,UCLA,USA,2014,1,13,67,24.4,4.6,4.5,-0.9,1,12.1,28.4,60.5,20.7
Zavier Simpson,OKC,25,6-0,190,Michigan,USA,Undrafted,Undrafted,Undrafted,4,11,5.3,7.5,-26.5,1,11.4,15.8,40.6,25
Zeke Nnaji,DEN,21,6-9,240,Arizona,USA,2020,1,22,41,6.6,3.6,0.4,-3.2,7.7,14.1,14.6,62.9,3.7
Ziaire Williams,MEM,20,6-9,185,Stanford,USA,2021,1,10,62,8.1,2.1,1,4.2,1.7,7.1,14.4,55.9,6.2
Zylan Cheatham,UTA,26,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-106.8,0,0,25,0,0

